AreaDescripcion;Ubicacion;Fabricante;ArticuloCodigo;ArticuloDescripcion;Lote;FechaVencimiento;Días al vencimiento ;Cantidad;ContenedorNumero;EstadoDescripcion;Bultos;UnidadesSueltas;Critico
PREPARACION;PRE-001-001-001;;60-100N        ;60-100N - LAVATORIO BLACK C.CERAM FABRIC;;1/12/2031;1931;4;CARRO16;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;60-122N        ;LAVATORIO BLACK C.CERAM VALENCIA                                      ;;8/10/2031;1877;24;CARRO80;Activo;0;24;NO
PREPARACION;PRE-001-001-001;;60-131         ;60-131 - LAVATORIO C.CERAM CR MALLORCA;;30/11/2031;1930;5;CARRO1;Activo;0;5;NO
PREPARACION;PRE-001-001-001;;60-131         ;60-131 - LAVATORIO C.CERAM CR MALLORCA;;30/11/2031;1930;5;CARRO8;Activo;0;5;NO
PREPARACION;PRE-001-001-001;;60-133         ;60-133 - LAVATORIO MONOCOMANDO LUGO;;29/7/2031;1806;10;CARRO26;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;60-136         ;60-136 - LAVATORIO C.CERAM CR MARBELLA PLUS;;25/10/2031;1894;5;CARRO69;Activo;0;5;NO
PREPARACION;PRE-001-001-001;;60-138         ;60-138 - LAVATORIO C.CERAM CR VALENCIA PLUS;;8/10/2031;1877;15;CARRO69;Activo;0;15;NO
PREPARACION;PRE-001-001-001;;60-153         ;60-153 - LAVATORIO CR C.CERAMICO CASTILLA;;27/9/2031;1866;4;CARRO16;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;60-153         ;60-153 - LAVATORIO CR C.CERAMICO CASTILLA;;27/9/2031;1866;10;CARRO24;Activo;0;10;NO
PREPARACION;PRE-001-001-001;;60-183         ;LAVATORIO MONOCOMANDO BAJO MAT                                        ;;2/11/2031;1902;20;CARRO24;Activo;0;20;NO
PREPARACION;PRE-001-001-001;;60-194         ;60-194 - LAVATORIO CR C.CERAM LINEA LARA;;14/1/2032;1975;15;CARRO13;Activo;0;15;NO
PREPARACION;PRE-001-001-001;;60-203         ;60-203 - LAVATORIO MONOCOMANDO BAJO ADRA;;4/1/2032;1965;3;CARRO8;Activo;0;3;NO
PREPARACION;PRE-001-001-001;;60-205         ;60-205 - LAVATORIO MONOC BAJO STEEL;;27/7/2031;1804;4;CARRO8;Activo;0;4;NO
PREPARACION;PRE-001-001-001;;60-205         ;60-205 - LAVATORIO MONOC BAJO STEEL;;27/7/2031;1804;21;CARRO42;Activo;0;21;NO
PREPARACION;PRE-001-001-001;;61-169N        ;61-169N - LAVATORIO MONOC ALTO BLACK PARIS;;6/1/2032;1967;56;CARRO80;Activo;0;56;NO
PREPARACION;PRE-001-001-001;;61-203         ;61-203 - LAVATORIO MONOCOMANDO ALTO ADRA;;4/1/2032;1965;30;CARRO24;Activo;0;30;NO
